id,name,nickname,abbrev,conference_name,conference_id,division_id,url
1,Bye Week,No Game,Bye,BYE,1,None,none
2,NA,NA,NA,NA,1,None,none
3,TBD,TBD,TBD,A,1,None,none
4,Air Force,Falcons,AF,MWC,17,None,www.goairforcefalcons.com
5,Arkansas-Pine Bluff,Arkies,AKPB,SWEST,25,None,www.ark.com
6,Akron,Zips,AKRN,MAC,14,East,www.gozips.com
7,Arkansas St,Indians,AKST,SUNB,24,None,www.asuindians.com
8,Alabama,Tide,ALA,SEC,6,West,www.rolltide.com
9,Alabama A&M,Snakes,ALAM,OTHER,1,None,none
10,Albany,Great Danes,ALBAN,NEC,18,None,www.ualbanysports.com/
11,Alcorn State,Braves,ALCR,SWEST,25,None,www.google.com
12,Alabama State,Hornets,ALST,SWEST,25,NULL,none
13,Appalachian State,Mountaineers,APST,SOCON,22,None,www.goasu.com
14,Arkansas,Razorbacks,ARK,SEC,6,West,www.hogwired.com
15,Army,Cadets,ARMY,IND,8,None,www.goarmysports.com
16,Arizona,Wildcats,ARZ,PAC12,7,None,www.arizonaathletics.com
17,Auburn,Tigers,AUB,SEC,6,West,www.auburntigers.com
18,Austin Peay,Governors,AUPY,OVC,19,None,www.apsu.edu/letsgopeay
19,Arizona St,Sun Devils,AZST,PAC12,7,None,www.thesundevils.com
20,Baylor,Bears,BAY,BIG12,5,South,www.baylorbears.com
21,Boston College,Eagles,BC,ACC,3,Atlantic,www.bceagles.com
22,Bucknell,Bison,BCKNL,PATRT,19,NULL,none
23,Bethune-Cookman,Wildcats,BECK,MDEAS,15,None,www4.cookman.edu/athletics/
24,Bowling Green,Falcons,BGSU,MAC,14,East,www.bgsufalcons.com
25,Ball State,Cardinals,BLST,MAC,14,West,www.ballstatesports.com
26,Boise State,Broncos,BOST,MWC,17,None,www.broncosports.com
27,Brown,Bears,BROWN,IVY,13,NULL,none
28,Buffalo,Bulls,BUFF,MAC,14,East,www.ubathletics.buffalo.edu
29,Butler,Bulldogs,BUTLR,PIONF,21,NULL,none
30,Brigham Young,Cougars,BYU,MWC,17,None,www.byucougars.com
31,California,Bears,CAL,PAC12,7,None,www.calbears.com
32,UC Davis,Aggies,CALD,OTHER,1,None,www.ucdavisaggies.com
33,Campbell,Fighting Camels,CAMPB,PIONF,21,NULL,none
34,Central Arkansas,Bears,CARK,STHLN,23,None,none
35,Central Conn. State,Blue Devils,CCST,NEC,18,NULL,none
36,Central Florida,Knights,CFLA,CUSA,12,East,www.ucfathletics.com
37,Charleston Southern,Buccaneers,CHASO,BIGSO,10,None,none
38,Tenn-Chattanooga,Mocs,CHATT,SOCON,22,None,www.gomocs.com
39,College of Charleston,Cougars,CHRLS,SOCON,22,None,www.cofcsports.com
40,Cincinnati,Bearcats,CIN,AAC,2,None,www.ucbearcats.com
